timestamp,license_plate,confidence,vehicle_type,track_id,violations,signal
1775466710.038739,JEGRISOO,0.08,vehicle,2,Wrong Lane,GREEN
1775466710.301749,BOXSOGTI,0.05,vehicle,1,Wrong Lane,GREEN
1775466710.5447092,UMSYSU,0.11,vehicle,2,None,GREEN
1775466710.711367,19GXISO5J,0.10,vehicle,3,Wrong Lane,GREEN
1775466711.111079,GXISOQUL,0.06,vehicle,1,Wrong Lane,GREEN
1775466711.806775,4GXISOCV,0.09,vehicle,0,Wrong Lane,GREEN
1775466711.948309,14GX15031,0.36,vehicle,0,Wrong Lane,GREEN
1775466712.525184,IBGXIS0,0.20,vehicle,0,Wrong Lane,GREEN
1775466712.842726,DGXISORI,0.40,vehicle,2,Wrong Lane,GREEN
1775466713.009064,EOUSOGUE,0.08,vehicle,2,Wrong Lane,GREEN
1775466713.558133,GX15OCH,0.13,vehicle,2,Wrong Lane,GREEN
1775466713.7245948,DGXSOGV,0.03,vehicle,2,Wrong Lane,GREEN
1775466713.896915,BGXISOGMN,0.05,vehicle,2,Wrong Lane,GREEN
1775466714.1818602,GX5001,0.36,vehicle,2,Wrong Lane,GREEN
1775466714.63168,GXS051,0.12,vehicle,1,Wrong Lane,GREEN
1775466714.770272,GX1SOG,0.19,vehicle,1,Wrong Lane,GREEN
1775466714.906235,GX150C18,0.12,vehicle,1,Wrong Lane,GREEN
1775466715.032716,AGRISOGW,0.19,vehicle,0,Wrong Lane,GREEN
1775466715.168913,LGXIS00J8,0.05,vehicle,0,Wrong Lane,GREEN
1775466715.30895,EGXL50G1,0.08,vehicle,1,Wrong Lane,GREEN
1775466715.4525251,GXISO6JJ,0.12,vehicle,1,Wrong Lane,GREEN
1775466715.724569,EGXISOCJE,0.05,vehicle,1,Wrong Lane,GREEN
1775466715.895009,GX50CM,0.10,vehicle,1,Wrong Lane,GREEN
1775466716.043988,GX15ODI,0.05,vehicle,1,Wrong Lane,GREEN
1775466716.187368,BGXISO0,0.05,vehicle,1,Wrong Lane,GREEN
1775466716.344096,GXIS0C,0.20,vehicle,1,Wrong Lane,GREEN
1775466716.475473,4GXI5OC4,0.08,vehicle,1,Wrong Lane,GREEN
1775466716.475473,1R0520G,0.01,vehicle,3,None,GREEN
1775466716.8080971,IG15OGT,0.05,vehicle,1,Wrong Lane,GREEN
1775466717.736882,GX15OQA,0.07,vehicle,1,Wrong Lane,GREEN
1775466718.384015,GX15OGJ,0.10,vehicle,1,Wrong Lane,GREEN
1775466718.384015,QWFOSUSOT,0.02,vehicle,3,None,GREEN
1775466718.604083,GXISQQ,0.19,vehicle,0,Wrong Lane,GREEN
1775466718.604083,MPO5PZULS,0.01,vehicle,2,None,GREEN
1775466718.970776,GX1S9045,0.08,vehicle,0,Wrong Lane,GREEN
1775466718.970776,XHD5278,0.21,vehicle,2,Wrong Lane,GREEN
1775466718.970776,QP05JSO,0.14,vehicle,3,None,GREEN
1775466719.693198,GXI65054,0.03,vehicle,2,Wrong Lane,GREEN
1775466719.890364,DGX6G1,0.03,vehicle,1,Wrong Lane,GREEN
1775466719.890364,KKDSZ77,0.16,vehicle,3,Wrong Lane,GREEN
1775466720.117221,KI35ZEF,0.03,vehicle,3,Wrong Lane,GREEN
1775466720.3552918,GXEOQQ1,0.01,vehicle,1,Wrong Lane,GREEN
1775466720.5225759,GPOSVEOT,0.04,vehicle,1,None,GREEN
1775466720.695393,7X7USDEOE,0.02,vehicle,1,None,GREEN
1775466720.695393,GXIS0GJF,0.32,vehicle,2,Wrong Lane,GREEN
1775466720.864314,WAPDSUEOIK,0.02,vehicle,2,None,GREEN
1775466721.042719,GD5EUT,0.07,vehicle,1,None,GREEN
1775466721.042719,VGXISOG4,0.29,vehicle,2,Wrong Lane,GREEN
1775466721.408727,LHEVCH,0.18,vehicle,0,None,GREEN
1775466721.408727,DPU53E0Z,0.09,vehicle,2,None,GREEN
1775466721.611108,GX15DGZ,0.10,vehicle,0,Wrong Lane,GREEN
1775466721.611108,JLHIACY,0.57,vehicle,1,None,GREEN
1775466721.816751,RFI57E07P,0.05,vehicle,2,None,GREEN
1775466721.816751,LW13CVI,0.23,vehicle,3,None,GREEN
1775466722.080759,GXLSOQU,0.15,vehicle,0,Wrong Lane,GREEN
1775466722.259952,GXIOG8,0.09,vehicle,0,Wrong Lane,GREEN
1775466722.259952,LHAVCRC,0.14,vehicle,1,None,GREEN
1775466722.259952,PP05TEC,0.09,vehicle,2,None,GREEN
1775466722.510756,EGXSOGU,0.04,vehicle,0,Wrong Lane,YELLOW
1775466722.510756,LHAYCT,0.13,vehicle,1,None,YELLOW
1775466722.510756,PIFISAIEW,0.08,vehicle,2,None,YELLOW
1775466722.510756,KM05ZIK,0.07,vehicle,4,Wrong Lane,YELLOW
1775466723.810827,XKO5ZI,0.12,vehicle,3,Wrong Lane,YELLOW
1775466723.949565,LBPWWOT,0.02,vehicle,2,None,YELLOW
1775466724.161963,KLICSZZK,0.06,vehicle,2,Wrong Lane,YELLOW
1775466724.4886909,HIPV5JEE,0.02,vehicle,2,None,YELLOW
1775466724.4886909,KHCSZZA,0.31,vehicle,3,Wrong Lane,YELLOW
1775466724.6879418,MI05ZZK,0.26,vehicle,3,Wrong Lane,YELLOW
1775466724.85465,EFAPOSJEOT,0.29,vehicle,0,None,YELLOW
1775466724.85465,XHOSZZ,0.24,vehicle,3,Wrong Lane,YELLOW
1775466725.049938,UIPDSJI,0.01,vehicle,0,None,YELLOW
1775466725.258741,KX05ZIN,0.25,vehicle,4,Wrong Lane,YELLOW
1775466725.4383428,KXOSZ2KS,0.07,vehicle,4,Wrong Lane,YELLOW
1775466725.644496,JEP05JE01F,0.08,vehicle,1,None,RED
1775466725.644496,YHOS27K,0.25,vehicle,3,Wrong Lane,RED
1775466726.0795488,MPUSED,0.29,vehicle,0,None,RED
1775466726.349461,KH05ZZK,0.18,vehicle,1,Wrong Lane,RED
1775466726.714721,KH45ZZK,0.14,vehicle,1,Wrong Lane,RED
1775466726.911946,KR05ZZK,0.83,vehicle,1,Wrong Lane,RED
1775466727.111165,KHS2IA,0.06,vehicle,1,Wrong Lane,RED
